round,loss,rmse
0,0.5105634331703186,0.7104963064193726
1,0.2560969591140747,0.5003761053085327
2,0.1387475430965423,0.3648218214511871
3,0.1559346616268158,0.3877952098846435
4,0.1232527792453765,0.3432729542255401
5,0.1227634698152542,0.342749685049057
6,0.1168591156601905,0.3342292904853821
7,0.1177874654531478,0.3358140289783478
8,0.1167561337351799,0.3344714343547821
9,0.1121018752455711,0.3276334702968597
10,0.110586978495121,0.325504720211029
11,0.108323648571968,0.322196751832962
12,0.105662889778614,0.3182264268398285
13,0.1042553260922432,0.3161852359771728
14,0.1021913737058639,0.3130808770656585
15,0.0994882062077522,0.3089061379432678
16,0.0970544144511222,0.3051179647445678
17,0.0951119735836982,0.3020903468132019
18,0.0936281308531761,0.299794852733612
19,0.0916179493069648,0.2965950071811676
20,0.0898873582482338,0.2938275933265686
21,0.0889599099755287,0.2924075424671173
22,0.0876585021615028,0.2903264462947845
23,0.0866032168269157,0.2886520028114319
24,0.0869519412517547,0.2894017696380615
25,0.0853487327694892,0.286764919757843
26,0.0845195427536964,0.2854491174221039
27,0.0835888311266899,0.2839471399784088
28,0.0836779624223709,0.2842225432395935
29,0.0815881937742233,0.2806444764137268
30,0.0825347155332565,0.2824351191520691
31,0.0794636532664299,0.2770619988441467
32,0.081381931900978,0.2806038856506347
33,0.0775308385491371,0.2737639248371124
34,0.0795129016041755,0.277448445558548
35,0.0763685628771781,0.2718234360218048
36,0.0780666097998619,0.2750135362148285
37,0.0750339850783348,0.2695356905460357
38,0.0756048485636711,0.2706687450408935
39,0.0743077471852302,0.2683422863483429
40,0.0739971101284027,0.2678352892398834
41,0.0722616016864776,0.2646443843841553
42,0.0717299208045005,0.2637012004852295
43,0.0706438720226287,0.2616922855377197
44,0.0697490945458412,0.2600333392620086
45,0.069196805357933,0.2590243518352508
46,0.0679004117846489,0.2565600275993347
47,0.0670844614505767,0.2550162076950073
48,0.0673029124736785,0.2554856538772583
49,0.0653020441532135,0.2515824437141418
50,0.0660772249102592,0.2531505227088928
51,0.0643117651343345,0.2496792078018188
52,0.065599501132965,0.2522741556167602
53,0.0644701272249221,0.2500627338886261
54,0.0640167519450187,0.2491800785064697
55,0.0637817308306694,0.2487315237522125
56,0.0628441423177719,0.2468638867139816
57,0.0630497857928276,0.2473043352365493
58,0.0628781020641326,0.2469772845506668
59,0.0620915926992893,0.2453998774290084
60,0.0628737658262252,0.2470014542341232
61,0.0612383820116519,0.243685245513916
62,0.0627193078398704,0.2467086911201477
63,0.060964111238718,0.2431429773569107
64,0.061695571988821,0.2446476519107818
65,0.0611097738146781,0.2434613406658172
66,0.0602251254022121,0.241645410656929
67,0.0608392767608165,0.2429170161485672
68,0.0605813041329383,0.2423909902572631
69,0.0593097433447837,0.2397609204053878
70,0.0613742731511592,0.244021937251091
71,0.0597480423748493,0.240679457783699
72,0.059189636260271,0.2395244389772415
73,0.0601054653525352,0.2414320707321167
74,0.0601635314524173,0.241560086607933
75,0.0599446520209312,0.2411177903413772
76,0.0597166195511817,0.2406516075134277
77,0.0593338832259178,0.2398682832717895
78,0.0607021376490592,0.2427052408456802
79,0.0587799288332462,0.2387253046035766
80,0.0587691254913806,0.2387059926986694
81,0.0591357834637165,0.2394808977842331
82,0.0589105598628521,0.2390160858631134
83,0.0598532333970069,0.2409915775060653
84,0.059758223593235,0.2407945692539215
85,0.0605108402669429,0.2423635572195053
86,0.0604904741048812,0.242327407002449
87,0.0601662509143352,0.2416652143001556
88,0.0575822256505489,0.2362667471170425
89,0.0602141954004764,0.2417750358581543
90,0.0597769096493721,0.2408783137798309
91,0.0599369034171104,0.241214632987976
92,0.0603768490254879,0.2421306371688842
93,0.0588197447359561,0.2389002293348312
94,0.058426633477211,0.238082081079483
95,0.0748142749071121,0.270302951335907
96,0.0807511508464813,0.2810703217983246
97,0.0472403280436992,0.213289588689804
98,0.0799608379602432,0.2796278893947601
99,0.0790636762976646,0.2780805230140686
100,0.0793640539050102,0.2786281704902649
101,0.0710223913192749,0.263247549533844
102,0.0508385375142097,0.2215991169214248
103,0.0484060384333133,0.2161007672548294
