round,loss,rmse
0,0.5872815847396851,0.7624738812446594
1,0.3049831092357635,0.5469156503677368
2,0.1420296281576156,0.3690829575061798
3,0.1530110388994217,0.3838535845279693
4,0.140513926744461,0.3674348592758178
5,0.1327847391366958,0.3570019006729126
6,0.129088893532753,0.3520213663578033
7,0.1290774047374725,0.352228432893753
8,0.1302434206008911,0.3541005849838257
9,0.125779241323471,0.3479578793048858
10,0.1273150593042373,0.3503723740577698
11,0.1250707507133484,0.347366988658905
12,0.1266046911478042,0.3497703075408935
13,0.1225850582122802,0.3441858291625976
14,0.1251464933156967,0.3480861783027649
15,0.1199427098035812,0.3407314717769623
16,0.125663936138153,0.3492174446582794
17,0.1185259148478508,0.3390365242958069
18,0.1257512271404266,0.3496998846530914
19,0.115041896700859,0.3342182040214538
20,0.1249834671616554,0.3489304482936859
21,0.113395944237709,0.3320832848548889
22,0.1230146139860153,0.3464105129241943
23,0.1105609238147735,0.3281041085720062
24,0.1212243512272834,0.3441052436828613
25,0.1090741157531738,0.3261211812496185
26,0.1165240705013275,0.3374747335910797
27,0.107500173151493,0.3239540457725525
28,0.113255575299263,0.3328297734260559
29,0.105782613158226,0.321519136428833
30,0.1088592931628227,0.3263633251190185
31,0.103272758424282,0.3177864551544189
32,0.1078139990568161,0.3249340355396271
33,0.1023999080061912,0.3165779709815979
34,0.1061055436730384,0.3224492073059082
35,0.1003201305866241,0.3134225308895111
36,0.1058204844594001,0.3221409320831299
37,0.0979682207107544,0.3097745180130005
38,0.1046752259135246,0.3204759061336517
39,0.0944479703903198,0.3041547536849975
40,0.1035304144024849,0.3187918663024902
41,0.092075727880001,0.3003379702568054
42,0.0991316586732864,0.311911016702652
43,0.090478129684925,0.2977673411369324
44,0.0975856557488441,0.3095152080059051
45,0.0872022807598114,0.2923062145709991
46,0.0968945771455764,0.3084796369075775
47,0.0867083519697189,0.2915435433387756
48,0.0948169603943824,0.3051702380180359
49,0.0849403664469719,0.2885726690292358
50,0.0912994146347045,0.2994180023670196
51,0.0833618193864822,0.2858873307704925
52,0.0917118936777114,0.3001754581928253
53,0.0824804082512855,0.2844116985797882
54,0.0895867720246315,0.2966675758361816
55,0.0810292735695838,0.2819024324417114
56,0.0866649448871612,0.2917439341545105
57,0.0810046046972274,0.2819007039070129
58,0.0881010591983795,0.2942360043525696
59,0.0795775577425956,0.2793877124786377
60,0.0859265998005867,0.2905474901199341
61,0.0805964618921279,0.2812325954437256
62,0.0836672633886337,0.2866554260253906
63,0.0805062130093574,0.2810906171798706
64,0.0816822424530983,0.2831922769546509
65,0.0837396532297134,0.286806046962738
66,0.0796941593289375,0.2796845734119415
67,0.0832470133900642,0.285977303981781
68,0.0779309645295143,0.2765377759933471
69,0.0810767263174057,0.2821849584579468
70,0.0516611002385616,0.2240182012319564
71,0.153796836733818,0.3902408182621002
72,0.1343375295400619,0.3645135164260864
73,0.1312149316072464,0.3602685928344726
74,0.1482392698526382,0.3831657171249389
75,0.0695204362273216,0.2608286142349243
76,0.1414326131343841,0.3741388618946075
77,0.0683858916163444,0.2586753964424133
78,0.0574726685881614,0.2367360591888427
79,0.1483357697725296,0.3832630217075348
80,0.1253437101840973,0.3520711362361908
81,0.1540881097316742,0.3907822966575622
82,0.0780921429395675,0.2768488228321075
83,0.0555147863924503,0.2326797395944595
84,0.1504324525594711,0.3860539197921753
85,0.1334474384784698,0.3634698987007141
86,0.1408524513244629,0.3735255897045135
87,0.0667744204401969,0.2556570470333099
88,0.0539226196706295,0.2292692363262176
89,0.0523366257548332,0.2257627248764038
90,0.0477332212030887,0.2152789682149887
91,0.0458274483680725,0.2107637226581573
92,0.1547561585903167,0.3915585875511169
93,0.1308896094560623,0.3599137663841247
94,0.0614632591605186,0.2450271993875503
95,0.122953675687313,0.3486557602882385
96,0.0573405101895332,0.2364872992038726
97,0.051979374140501,0.2249139249324798
98,0.0428186804056167,0.203560322523117
99,0.0463034100830554,0.2119438499212265
100,0.043844100087881,0.2060305178165435
