round,loss,rmse
0,0.5872815847396851,0.7624738812446594
1,0.30498310923576355,0.5469156503677368
2,0.14202962815761566,0.3690829575061798
3,0.1530110388994217,0.38385358452796936
4,0.14051392674446106,0.36743485927581787
5,0.13278473913669586,0.3570019006729126
6,0.129088893532753,0.35202136635780334
7,0.12907740473747253,0.35222843289375305
8,0.1302434206008911,0.3541005849838257
9,0.12577924132347107,0.34795787930488586
10,0.12731505930423737,0.3503723740577698
11,0.1250707507133484,0.34736698865890503
12,0.12660469114780426,0.34977030754089355
13,0.12258505821228027,0.34418582916259766
14,0.12514649331569672,0.3480861783027649
15,0.11994270980358124,0.3407314717769623
16,0.12566393613815308,0.3492174446582794
17,0.1185259148478508,0.3390365242958069
18,0.12575122714042664,0.34969988465309143
19,0.11504189670085907,0.33421820402145386
20,0.12498346716165543,0.3489304482936859
21,0.11339594423770905,0.3320832848548889
22,0.12301461398601532,0.34641051292419434
23,0.11056092381477356,0.3281041085720062
24,0.12122435122728348,0.34410524368286133
25,0.10907411575317383,0.32612118124961853
26,0.11652407050132751,0.3374747335910797
27,0.10750017315149307,0.3239540457725525
28,0.113255575299263,0.3328297734260559
29,0.10578261315822601,0.321519136428833
30,0.10885929316282272,0.32636332511901855
31,0.10327275842428207,0.31778645515441895
32,0.1078139990568161,0.3249340355396271
33,0.10239990800619125,0.3165779709815979
34,0.10610554367303848,0.3224492073059082
35,0.10032013058662415,0.3134225308895111
36,0.10582048445940018,0.3221409320831299
37,0.0979682207107544,0.3097745180130005
38,0.10467522591352463,0.32047590613365173
39,0.09444797039031982,0.30415475368499756
40,0.1035304144024849,0.31879186630249023
41,0.09207572788000107,0.3003379702568054
42,0.09913165867328644,0.311911016702652
43,0.09047812968492508,0.2977673411369324
44,0.09758565574884415,0.30951520800590515
45,0.0872022807598114,0.29230621457099915
46,0.09689457714557648,0.3084796369075775
47,0.08670835196971893,0.29154354333877563
48,0.09481696039438248,0.3051702380180359
49,0.0849403664469719,0.28857266902923584
50,0.09129941463470459,0.29941800236701965
51,0.08336181938648224,0.28588733077049255
52,0.09171189367771149,0.3001754581928253
53,0.08248040825128555,0.2844116985797882
54,0.0895867720246315,0.29666757583618164
55,0.08102927356958389,0.2819024324417114
56,0.08666494488716125,0.2917439341545105
57,0.08100460469722748,0.28190070390701294
58,0.08810105919837952,0.2942360043525696
59,0.07957755774259567,0.2793877124786377
60,0.0859265998005867,0.2905474901199341
61,0.08059646189212799,0.2812325954437256
62,0.08366726338863373,0.2866554260253906
63,0.08050621300935745,0.2810906171798706
64,0.0816822424530983,0.2831922769546509
65,0.08373965322971344,0.28680604696273804
66,0.07969415932893753,0.27968457341194153
67,0.08324701339006424,0.285977303981781
68,0.07793096452951431,0.27653777599334717
69,0.0810767263174057,0.2821849584579468
70,0.05166110023856163,0.22401820123195648
71,0.15379683673381805,0.3902408182621002
72,0.13433752954006195,0.3645135164260864
73,0.1312149316072464,0.36026859283447266
74,0.14823926985263824,0.38316571712493896
75,0.06952043622732162,0.2608286142349243
76,0.14143261313438416,0.37413886189460754
77,0.06838589161634445,0.25867539644241333
78,0.05747266858816147,0.23673605918884277
79,0.1483357697725296,0.3832630217075348
80,0.1253437101840973,0.3520711362361908
81,0.1540881097316742,0.39078229665756226
82,0.07809214293956757,0.27684882283210754
83,0.05551478639245033,0.23267973959445953
84,0.15043245255947113,0.3860539197921753
85,0.13344743847846985,0.3634698987007141
86,0.1408524513244629,0.37352558970451355
87,0.06677442044019699,0.25565704703330994
88,0.0539226196706295,0.22926923632621765
89,0.05233662575483322,0.2257627248764038
90,0.04773322120308876,0.2152789682149887
91,0.04582744836807251,0.21076372265815735
92,0.15475615859031677,0.39155858755111694
93,0.13088960945606232,0.35991376638412476
94,0.061463259160518646,0.24502719938755035
95,0.12295367568731308,0.3486557602882385
96,0.057340510189533234,0.23648729920387268
97,0.05197937414050102,0.22491392493247986
98,0.04281868040561676,0.20356032252311707
99,0.046303410083055496,0.2119438499212265
100,0.04384410008788109,0.20603051781654358
