round,loss,rmse
0,0.5346896052360535,0.7271232604980469
1,0.28704795241355896,0.5302240252494812
2,0.14171704649925232,0.36862197518348694
3,0.15885639190673828,0.3913536071777344
4,0.12539394199848175,0.346235454082489
5,0.134046271443367,0.3587242364883423
6,0.12667933106422424,0.34851908683776855
7,0.12861666083335876,0.351506769657135
8,0.12630119919776917,0.34841036796569824
9,0.12732817232608795,0.35008910298347473
10,0.12489713728427887,0.34680500626564026
11,0.12373960018157959,0.3453410267829895
12,0.12237309664487839,0.34356075525283813
13,0.12432070076465607,0.34658148884773254
14,0.120060995221138,0.34058505296707153
15,0.12255379557609558,0.34442242980003357
16,0.11841882020235062,0.3385626971721649
17,0.12350158393383026,0.3461717665195465
18,0.11423517018556595,0.33271127939224243
19,0.12181393057107925,0.34408965706825256
20,0.1134655550122261,0.3319171667098999
21,0.1185486689209938,0.3396546542644501
22,0.11097083240747452,0.32846811413764954
23,0.11771038919687271,0.3387144207954407
24,0.10939894616603851,0.3263615071773529
25,0.1152447760105133,0.3353266417980194
26,0.10790799558162689,0.32433179020881653
27,0.11227894574403763,0.3311149477958679
28,0.1058332771062851,0.32134950160980225
29,0.10759749263525009,0.3241799771785736
30,0.10429307818412781,0.31914210319519043
31,0.1063329353928566,0.3224111795425415
32,0.10284154862165451,0.31703662872314453
33,0.10386795550584793,0.3187347650527954
34,0.1009649932384491,0.314226359128952
35,0.10324759036302567,0.3179149031639099
36,0.09828697144985199,0.31008654832839966
37,0.10246188938617706,0.31681525707244873
38,0.09697525948286057,0.3080994784832001
39,0.10254707932472229,0.3170764446258545
40,0.09475802630186081,0.3046119809150696
41,0.10031483322381973,0.31365400552749634
42,0.09291952103376389,0.3016982674598694
43,0.09806368499994278,0.31015217304229736
44,0.08935558050870895,0.29583919048309326
45,0.09604397416114807,0.30698081851005554
46,0.08784110844135284,0.2933669984340668
47,0.09635959565639496,0.3075847625732422
48,0.08750585466623306,0.2928837835788727
49,0.09562702476978302,0.30647286772727966
50,0.0845073014497757,0.2878039479255676
